Carga;Bodega;Fecha;Tipo;Tran_nbr;Tienda;Guias;Detalles;Cant_Wms;Procesado_jda;Encontrados
634896;200;2017-12-05 07:55:50.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634897;200;2017-12-05 07:55:56.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634898;200;2017-12-05 07:56:01.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634899;200;2017-12-05 07:56:11.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634900;200;2017-12-05 07:56:19.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634912;200;2017-12-05 07:58:37.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634913;012;2017-12-05 07:59:12.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634359;012;2017-12-05 08:07:04.0;CTL;727653;37;0;99;99.000;SI;
634915;012;2017-12-05 08:11:29.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634914;012;2017-12-05 08:19:08.0;CTL;727656;37;0;1;80.000;SI;
634916;012;2017-12-05 08:20:40.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634918;012;2017-12-05 08:27:24.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634694;012;2017-12-05 08:35:20.0;CTL;727659;119;0;1;80.000;SI;
634919;012;2017-12-05 08:39:06.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634902;200;2017-12-05 08:40:31.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634923;012;2017-12-05 08:44:22.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634728;012;2017-12-05 08:57:39.0;CTL;727664;104;0;1;80.000;SI;
634443;012;2017-12-05 08:59:02.0;CTL;727665;23;0;32;145.000;SI;
634901;200;2017-12-05 09:04:17.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634416;012;2017-12-05 09:08:34.0;CTL;727667;1;0;1217;7491.000;SI;
634195;012;2017-12-05 09:19:19.0;CTL;727668;110;0;1228;6815.000;SI;
634922;012;2017-12-05 11:47:46.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634931;200;2017-12-05 09:24:18.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634427;012;2017-12-05 09:29:03.0;CTL;727671;87;0;1883;8121.000;SI;
632683;012;2017-12-05 09:26:56.0;CTL;727672;122;0;77;209.000;M0;
634921;012;2017-12-05 09:26:53.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634730;012;2017-12-05 09:28:31.0;CTL;727674;200;0;176;181.000;SI;
634932;200;2017-12-05 09:28:53.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634752;200;2017-12-05 09:32:23.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634934;200;2017-12-05 09:35:15.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634925;012;2017-12-05 09:43:01.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634754;200;2017-12-05 09:50:13.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634753;200;2017-12-05 09:50:32.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634935;012;2017-12-05 10:03:43.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634947;012;2017-12-05 10:10:44.0;CTL;-;-;-;-;-;-;No encontrado en JDA
634652;400;2017-12-05 10:15:56.0;CTL;727683;429;0;262;1328.000;SI;
